'COLORSTYLE','SKU','PO_HDR','COUNTRY_OF_ORIGIN','MATERIAL','PRODUCT_SHORT_NAME','PRODUCT_LONG_DESCRIPTION','COLOR_GROUP','COLOR_DESCRIPTION','BULLET_1','BULLET_2','BULLET_3','BULLET_4','BULLET_5','BULLET_6','BULLET_7','BULLET_8','BULLET_9','WEIGHT','KEYWORD_OCCASION'
319017801,'891951539653',114991,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950895279',113996,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950804196',113858,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950865043',113968,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951376654',114973,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951470086',115111,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951235869',114752,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950874236',113986,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950895323',113996,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951406788',114991,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950804172',113858,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'101000007113',116297,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'101000007114',116297,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951406764',114991,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951141610',114584,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951376630',114973,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951141610',114584,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
